=== Batch14 ===
- slug: renwu-hs | 仁武高級中學 | Renwu District 仁武區 | level: senior-high
- slug: dawan-jh | 大灣國民中學 | Renwu District 仁武區 | level: junior-high
- slug: renwu-es | 仁武國小 | Renwu District 仁武區 | level: elementary
- slug: bagua-es | 八卦國小 | Renwu District 仁武區 | level: elementary
- slug: ks-wannei-es | 灣內國小 | Renwu District 仁武區 | level: elementary
- slug: renwu-wulin-es | 烏林國小 | Renwu District 仁武區 | level: elementary
- slug: dengfa-es | 登發國小 | Renwu District 仁武區 | level: elementary
- slug: zhuhou-es | 竹後國小 | Renwu District 仁武區 | level: elementary
- slug: gaoke-hs | 國立高科實驗高級中等學校 | Ciaotou District 橋頭區 | level: senior-high
- slug: gaoke-hs | 國立高科實驗高級中等學校 | Ciaotou District 橋頭區 | level: junior-high
- slug: qiaotou-jh | 橋頭國民中學 | Ciaotou District 橋頭區 | level: junior-high
- slug: ciaotou-wulin-es | 五林國小 | Ciaotou District 橋頭區 | level: elementary
- slug: shilong-es | 仕隆國小 | Ciaotou District 橋頭區 | level: elementary
- slug: ks-qiaotou-es | 橋頭國小 | Ciaotou District 橋頭區 | level: elementary
- slug: jiawei-es | 甲圍國小 | Ciaotou District 橋頭區 | level: elementary
- slug: xingtang-es | 興糖國小 | Ciaotou District 橋頭區 | level: elementary
- slug: banahua-jhes | 巴楠花部落中小學 | Shanlin District 杉林區 | level: junior-high
- slug: shanlin-jh | 杉林國民中學 | Shanlin District 杉林區 | level: junior-high
- slug: ks-shangping-es | 上平國小 | Shanlin District 杉林區 | level: elementary
- slug: banahua-jhes | 巴楠花部落中小學 | Shanlin District 杉林區 | level: elementary
- slug: shanlin-xinzhuang-es | 新莊國小 | Shanlin District 杉林區 | level: elementary
- slug: ks-yuemei-es | 月美國小 | Shanlin District 杉林區 | level: elementary
- slug: shanlin-es | 杉林國小 | Shanlin District 杉林區 | level: elementary
- slug: jilai-es | 集來國小 | Shanlin District 杉林區 | level: elementary
